SuperWEB2(tm)

"Census 2022-Person-2Gv2"
"Scotland's Census 2022 - National Records of Scotland Table UV102a - Age (single year) by sex All people"
"Health Board Area 2019 by Age by Sex by Individuals"
"Counting: Individuals"

Filters:
"Summation Options","Individuals"

"Counting","Health Board Area 2019","Age","Sex","Count",
"Individuals","Ayrshire and Arran","34","All people",4164
"Individuals","Ayrshire and Arran","34","Female",2179
"Individuals","Ayrshire and Arran","34","Male",1985
"Individuals","Ayrshire and Arran","35","All people",3894
"Individuals","Ayrshire and Arran","35","Female",2063
"Individuals","Ayrshire and Arran","35","Male",1828
"Individuals","Ayrshire and Arran","36","All people",4057
"Individuals","Ayrshire and Arran","36","Female",2176
"Individuals","Ayrshire and Arran","36","Male",1883
"Individuals","Ayrshire and Arran","37","All people",4124
"Individuals","Ayrshire and Arran","37","Female",2165
"Individuals","Ayrshire and Arran","37","Male",1959
"Individuals","Ayrshire and Arran","38","All people",4044
"Individuals","Ayrshire and Arran","38","Female",2126
"Individuals","Ayrshire and Arran","38","Male",1921
"Individuals","Ayrshire and Arran","39","All people",4067
"Individuals","Ayrshire and Arran","39","Female",2105
"Individuals","Ayrshire and Arran","39","Male",1962
"Individuals","Ayrshire and Arran","40","All people",4302
"Individuals","Ayrshire and Arran","40","Female",2277
"Individuals","Ayrshire and Arran","40","Male",2029
"Individuals","Ayrshire and Arran","41","All people",4342
"Individuals","Ayrshire and Arran","41","Female",2307
"Individuals","Ayrshire and Arran","41","Male",2032
"Individuals","Ayrshire and Arran","42","All people",4087
"Individuals","Ayrshire and Arran","42","Female",2122
"Individuals","Ayrshire and Arran","42","Male",1962
"Individuals","Ayrshire and Arran","43","All people",3992
"Individuals","Ayrshire and Arran","43","Female",2016
"Individuals","Ayrshire and Arran","43","Male",1973
"Individuals","Ayrshire and Arran","44","All people",3882
"Individuals","Ayrshire and Arran","44","Female",2085
"Individuals","Ayrshire and Arran","44","Male",1797
"Individuals","Ayrshire and Arran","45","All people",3766
"Individuals","Ayrshire and Arran","45","Female",1976
"Individuals","Ayrshire and Arran","45","Male",1790
"Individuals","Ayrshire and Arran","46","All people",4238
"Individuals","Ayrshire and Arran","46","Female",2250
"Individuals","Ayrshire and Arran","46","Male",1984
"Individuals","Ayrshire and Arran","47","All people",4392
"Individuals","Ayrshire and Arran","47","Female",2335
"Individuals","Ayrshire and Arran","47","Male",2057
"Individuals","Ayrshire and Arran","48","All people",4539
"Individuals","Ayrshire and Arran","48","Female",2321
"Individuals","Ayrshire and Arran","48","Male",2222
